iter	Passed	Remaining
574	8607	6362
575	8627	6350
576	8644	6337
577	8657	6321
578	8677	6309
579	8693	6294
580	8707	6279
581	8721	6264
582	8734	6247
583	8747	6230
584	8760	6214
585	8772	6197
586	8785	6181
587	8801	6167
588	8819	6154
589	8833	6138
590	8846	6122
591	8859	6105
592	8870	6088
593	8889	6075
594	8904	6061
595	8920	6046
596	8932	6030
597	8944	6013
598	8961	5999
599	8976	5984
600	8992	5969
601	9010	5957
602	9031	5945
603	9049	5933
604	9068	5920
605	9083	5905
606	9099	5891
607	9117	5878
608	9129	5861
609	9143	5846
610	9158	5831
611	9172	5815
612	9185	5799
613	9198	5782
614	9211	5766
615	9226	5751
616	9243	5737
617	9256	5721
618	9271	5706
619	9287	5692
620	9301	5676
621	9315	5661
622	9329	5645
623	9346	5631
624	9359	5615
625	9372	5599
626	9385	5583
627	9398	5567
628	9414	5552
629	9433	5540
630	9451	5527
631	9469	5513
632	9485	5499
633	9503	5486
634	9516	5470
635	9528	5453
636	9541	5437
637	9555	5421
638	9566	5404
639	9579	5388
640	9591	5372
641	9603	5355
642	9619	5341
643	9636	5326
644	9652	5312
645	9666	5297
646	9679	5280
647	9692	5265
648	9706	5249
649	9722	5235
650	9736	5219
651	9749	5203
652	9763	5188
653	9775	5171
654	9788	5155
655	9802	5140
656	9818	5126
657	9834	5111
658	9851	5097
659	9868	5083
660	9881	5067
661	9893	5051
662	9911	5038
663	9925	5022
664	9938	5006
665	9949	4989
666	9962	4973
667	9978	4959
668	9995	4945
669	10014	4932
670	10031	4918
671	10049	4905
672	10068	4891
673	10085	4878
674	10102	4864
675	10119	4850
676	10136	4836
677	10153	4822
678	10169	4807
679	10182	4791
680	10195	4775
681	10211	4761
682	10226	4746
683	10239	4730
684	10252	4714
685	10264	4698
686	10277	4682
687	10289	4665
688	10300	4649
689	10313	4633
690	10325	4617
691	10338	4601
692	10350	4585
693	10363	4569
694	10375	4553
695	10392	4539
696	10405	4523
697	10417	4507
698	10434	4493
699	10450	4478
700	10467	4464
701	10486	4451
702	10500	4436
703	10516	4421
704	10530	4406
705	10546	4391
706	10561	4376
707	10575	4361
708	10592	4347
709	10607	4332
710	10623	4318
711	10637	4302
712	10651	4287
713	10665	4272
714	10681	4257
715	10695	4242
716	10710	4227
717	10725	4212
718	10739	4197
719	10753	4181
720	10767	4166
721	10781	4151
722	10802	4138
723	10817	4123
724	10834	4109
725	10855	4096
726	10871	4082
727	10885	4067
728	10903	4053
729	10919	4038
730	10934	4023
731	10948	4008
732	10963	3993
733	10979	3978
734	10992	3963
735	11014	3950
736	11030	3936
737	11046	3921
738	11060	3906
739	11073	3890
740	11087	3875
741	11101	3860
742	11117	3845
743	11132	3830
744	11146	3815
745	11162	3800
746	11178	3785
747	11194	3771
748	11211	3757
749	11233	3744
750	11249	3729
751	11265	3715
752	11285	3701
753	11302	3687
754	11318	3672
755	11334	3658
756	11349	3643
757	11364	3628
758	11379	3613
759	11394	3598
760	11414	3584
761	11440	3573
762	11459	3559
763	11477	3545
764	11491	3530
765	11507	3515
766	11522	3500
767	11537	3485
768	11553	3470
769	11566	3454
770	11580	3439
771	11594	3424
772	11614	3410
773	11632	3396
774	11649	3382
775	11666	3367
776	11680	3352
777	11696	3337
778	11712	3322
779	11727	3307
780	11744	3293
781	11761	3278
782	11775	3263
783	11793	3249
784	11813	3235
785	11836	3222
786	11851	3207
787	11866	3192
788	11882	3177
789	11895	3162
790	11909	3146
791	11924	3131
792	11940	3116
793	11955	3101
794	11972	3087
795	11987	3072
796	12003	3057
797	12023	3043
798	12044	3029
799	12060	3015
800	12076	3000
801	12091	2985
802	12104	2969
803	12119	2954
804	12135	2939
805	12151	2924
806	12166	2909
807	12181	2894
808	12197	2879
809	12214	2865
810	12236	2851
811	12253	2837
812	12268	2822
813	12282	2806
814	12296	2791
815	12310	2775
816	12324	2760
817	12341	2745
818	12356	2730
819	12371	2715
820	12387	2700
821	12403	2685
822	12429	2673
823	12454	2660
824	12477	2646
825	12497	2632
826	12515	2618
827	12533	2603
828	12549	2588
829	12564	2573
830	12580	2558
831	12596	2543
832	12612	2528
833	12626	2513
834	12641	2498
835	12661	2483
836	12682	2469
837	12700	2455
838	12715	2440
839	12730	2424
840	12744	2409
841	12758	2394
842	12774	2379
843	12788	2363
844	12802	2348
845	12827	2335
846	12847	2320
847	12864	2305
848	12882	2291
849	12902	2276
850	12917	2261
851	12937	2247
852	12952	2232
853	12971	2217
854	12988	2202
855	13005	2187
856	13023	2173
857	13037	2157
858	13049	2142
859	13062	2126
860	13079	2111
861	13092	2096
862	13105	2080
863	13117	2064
864	13130	2049
865	13142	2033
866	13154	2017
867	13166	2002
868	13178	1986
869	13196	1971
870	13210	1956
871	13226	1941
872	13239	1925
873	13258	1911
874	13277	1896
875	13294	1881
876	13312	1867
877	13327	1851
878	13339	1836
879	13351	1820
880	13362	1804
881	13375	1789
882	13388	1773
883	13401	1758
884	13418	1743
885	13435	1728
886	13452	1713
887	13475	1699
888	13488	1684
889	13500	1668
890	13512	1653
891	13528	1637
892	13540	1622
893	13551	1606
894	13563	1591
895	13576	1575
896	13588	1560
897	13600	1544
898	13612	1529
899	13624	1513
900	13635	1498
901	13648	1482
902	13659	1467
903	13675	1452
904	13691	1437
905	13705	1421
906	13722	1407
907	13736	1391
908	13751	1376
909	13765	1361
910	13779	1346
911	13795	1331
912	13811	1316
913	13825	1300
914	13837	1285
915	13852	1270
916	13865	1254
917	13886	1240
918	13908	1225
919	13925	1210
920	13941	1195
921	13954	1180
922	13966	1165
923	13978	1149
924	13991	1134
925	14002	1119
926	14014	1103
927	14026	1088
928	14037	1072
929	14050	1057
930	14062	1042
931	14077	1027
932	14092	1012
933	14104	996
934	14119	981
935	14131	966
936	14143	950
937	14159	935
938	14174	920
939	14188	905
940	14200	890
941	14212	875
942	14229	860
943	14242	844
944	14258	829
945	14283	815
946	14301	800
947	14316	785
948	14330	770
949	14343	754
950	14359	739
951	14372	724
952	14385	709
953	14401	694
954	14423	679
955	14441	664
956	14457	649
957	14471	634
958	14485	619
959	14500	604
960	14513	589
961	14526	573
962	14539	558
963	14553	543
964	14566	528
965	14579	513
966	14594	498
967	14608	482
968	14621	467
969	14634	452
970	14646	437
971	14663	422
972	14678	407
973	14690	392
974	14703	377
975	14716	361
976	14727	346
977	14740	331
978	14755	316
979	14771	301
980	14792	286
981	14808	271
982	14822	256
983	14835	241
984	14847	226
985	14870	211
986	14888	196
987	14905	181
988	14919	165
989	14938	150
990	14953	135
991	14968	120
992	14982	105
993	14996	90
994	15010	75
995	15023	60
996	15036	45
997	15049	30
998	15062	15
999	15083	0
